 # i,    taui (ni),  alpha ;   j,    tauj  (nj),   beta  :   term  group   rij 
   1  [    1 ( 0, 0, 0) ] 2     2  [    1 (-1,-1, 1) ] 2  :     5    8    2.495
   1  [    1 ( 0, 0, 0) ] 2     2  [    1 ( 1, 1,-1) ] 2  :     8    8    2.495
   1  [    1 ( 0, 0, 0) ] 2     5  [    1 (-1, 1, 1) ] 2  :    17    8    4.778
   1  [    1 ( 0, 0, 0) ] 2     5  [    1 ( 1,-1,-1) ] 2  :    20    8    4.778
   1  [    1 ( 0, 0, 0) ] 2     3  [    1 (-1, 1,-1) ] 2  :     5    9    7.486
   1  [    1 ( 0, 0, 0) ] 2     3  [    1 ( 1,-1, 1) ] 2  :     8    9    7.486
   1  [    1 ( 0, 0, 0) ] 2    37  [    1 (-1, 0, 1) ] 2  :     5   10    4.075
   1  [    1 ( 0, 0, 0) ] 2    34  [    1 ( 1, 0,-1) ] 2  :     8   10    7.058
   1  [    1 ( 0, 0, 0) ] 2    33  [    1 ( 0,-1, 0) ] 2  :    13   10    6.280
   1  [    1 ( 0, 0, 0) ] 2    38  [    1 ( 0, 1, 0) ] 2  :    16   10    4.778
   1  [    1 ( 0, 0, 0) ] 2    18  [    1 ( 1, 0, 0) ] 1  :     4   11    5.763
   1  [    1 ( 0, 0, 0) ] 2    19  [    1 (-1, 0, 0) ] 1  :     9   11    7.486
   1  [    1 ( 0, 0, 0) ] 2    34  [    1 ( 1, 0,-1) ] 1  :    20   11    7.058
   1  [    1 ( 0, 0, 0) ] 2    37  [    1 (-1, 0, 1) ] 1  :    21   11    4.075
   1  [    1 ( 0, 0, 0) ] 2    37  [    1 (-1, 0, 1) ] 3  :    25   11    4.075
   1  [    1 ( 0, 0, 0) ] 2    34  [    1 ( 1, 0,-1) ] 3  :    32   11    7.058
   1  [    1 ( 0, 0, 0) ] 2    55  [    1 (-1, 1, 0) ] 3  :    37   11    7.058
   1  [    1 ( 0, 0, 0) ] 2    49  [    1 ( 1,-1, 0) ] 3  :    48   11    8.523
   1  [    1 ( 0, 0, 0) ] 2    38  [    1 ( 0, 1, 0) ] 1  :    52   11    4.778
   1  [    1 ( 0, 0, 0) ] 2    33  [    1 ( 0,-1, 0) ] 1  :    53   11    6.280
