 nk, la, al, be, mode_kap, mode_kap_RTA
          41           5           1           1  0.1933E-17  0.7189E-27
          42           5           1           1  0.2372E-02  0.1517E-02
          43           5           1           1   0.000      -0.000    
          44           5           1           1  0.2372E-02  0.1517E-02
          45           5           1           1  0.1064E-01  0.9132E-02
          46           5           1           1   0.000      -0.000    
          47           5           1           1  0.2372E-02  0.1517E-02
          48           5           1           1  0.3451E-01  0.2950E-01
          49           5           1           1  0.8800E-02  0.8570E-02
          50           5           1           1  0.1242E-15  0.1356E-26
          51           5           1           1  0.2015E-02  0.2085E-02
          52           5           1           1  0.5728E-02  0.6612E-02
          53           5           1           1  0.1242E-15  0.1356E-26
          54           5           1           1  0.8805E-02  0.8570E-02
          55           5           1           1  0.5062E-02  0.6612E-02
          56           5           1           1  0.1253E-02  0.1957E-02
          57           5           1           1  0.2015E-02  0.2085E-02
          58           5           1           1  0.5062E-02  0.6612E-02
          59           5           1           1  0.1695E-02  0.1517E-02
          60           5           1           1  0.1630E-15  0.1785E-25
          61           5           1           1  0.5728E-02  0.6612E-02
          62           5           1           1  0.1253E-02  0.1957E-02
          63           5           1           1  0.1630E-15  0.1785E-25
          64           5           1           1  0.1695E-02  0.1517E-02
           1           6           1           1  0.2256E-16  0.3415E-25
           2           6           1           1  0.7702E-02  0.5181E-02
           3           6           1           1   0.000      -0.000    
           4           6           1           1  0.7720E-02  0.5181E-02
           5           6           1           1  0.4941E-02  0.5181E-02
           6           6           1           1 -0.2697E-15  0.1253E-26
           7           6           1           1  0.4941E-02  0.5181E-02
           8           6           1           1  0.4649E-08  0.3925E-13
           9           6           1           1   0.000      -0.000    
          10           6           1           1  0.4941E-02  0.5181E-02
          11           6           1           1 -0.2141E-17  0.6970E-27
          12           6           1           1  0.6537E-02  0.5528E-02
          13           6           1           1  0.4956E-02  0.5181E-02
          14           6           1           1  0.4649E-08  0.3925E-13
          15           6           1           1  0.6820E-02  0.5528E-02
          16           6           1           1 -0.2696E-15  0.1253E-26
          17           6           1           1  0.1334E-02  0.8102E-03
          18           6           1           1 -0.3961E-03  0.2057E-03
          19           6           1           1  0.7702E-02  0.5181E-02
          20           6           1           1  0.1525E-14  0.1476E-25
          21           6           1           1 -0.3961E-03  0.2057E-03
          22           6           1           1  0.1499E-02  0.1482E-02
          23           6           1           1 -0.8274E-15  0.4241E-26
          24           6           1           1  0.7702E-02  0.5181E-02
          25           6           1           1  0.7702E-02  0.5181E-02
          26           6           1           1 -0.8274E-15  0.4241E-26
          27           6           1           1  0.1163E-02  0.1482E-02
          28           6           1           1 -0.3961E-03  0.2057E-03
          29           6           1           1  0.1525E-14  0.1476E-25
          30           6           1           1  0.7702E-02  0.5181E-02
          31           6           1           1 -0.3961E-03  0.2057E-03
          32           6           1           1  0.1334E-02  0.8102E-03
          33           6           1           1 -0.9010E-17  0.2243E-25
          34           6           1           1  0.1334E-02  0.8102E-03
          35           6           1           1  0.5183E-17  0.2788E-26
          36           6           1           1  0.1545E-02  0.8644E-03
          37           6           1           1  0.1334E-02  0.8102E-03
          38           6           1           1  0.4783E-01  0.3393E-01
          39           6           1           1  0.2006E-02  0.1482E-02
          40           6           1           1 -0.2697E-15  0.1253E-26
          41           6           1           1  0.5183E-17  0.2788E-26
          42           6           1           1  0.2006E-02  0.1482E-02
          43           6           1           1  -0.000      -0.000    
          44           6           1           1  0.2006E-02  0.1482E-02
          45           6           1           1  0.1545E-02  0.8644E-03
          46           6           1           1 -0.2697E-15  0.1253E-26
          47           6           1           1  0.2006E-02  0.1482E-02
          48           6           1           1  0.4783E-01  0.3393E-01
          49           6           1           1  0.1321E-02  0.8102E-03
          50           6           1           1   0.000      -0.000    
          51           6           1           1  0.6537E-02  0.5528E-02
          52           6           1           1 -0.3945E-03  0.2057E-03
          53           6           1           1   0.000      -0.000    
          54           6           1           1  0.1334E-02  0.8102E-03
          55           6           1           1  0.5304E-04  0.2057E-03
          56           6           1           1  0.4941E-02  0.5181E-02
          57           6           1           1  0.6537E-02  0.5528E-02
          58           6           1           1  0.5304E-04  0.2057E-03
          59           6           1           1  0.1499E-02  0.1482E-02
          60           6           1           1 -0.8274E-15  0.4241E-26
          61           6           1           1 -0.3945E-03  0.2057E-03
          62           6           1           1  0.4941E-02  0.5181E-02
          63           6           1           1 -0.8274E-15  0.4241E-26
          64           6           1           1  0.1499E-02  0.1482E-02
           1           1           1           2  0.4717E-16  0.3687E-24
           2           1           1           2  0.8584E-02  0.8487E-02
           3           1           1           2 -0.1184E-16  0.1916E-25
           4           1           1           2  0.8567E-02  0.8487E-02
           5           1           1           2 -0.9069E-02 -0.2196E-01
           6           1           1           2  0.1871E-13  0.4424E-13
           7           1           1           2 -0.9558E-02 -0.8487E-02
           8           1           1           2 -0.3368E-09  0.1139E-18
           9           1           1           2 -0.9817E-17  0.6385E-26
          10           1           1           2  0.9069E-02  0.2196E-01
          11           1           1           2 -0.4717E-17 -0.3687E-25
          12           1           1           2  0.1108E-01  0.2310E-01
          13           1           1           2 -0.9095E-02 -0.2196E-01
          14           1           1           2  0.2775E-09 -0.5695E-19
          15           1           1           2 -0.9596E-02 -0.8927E-02
          16           1           1           2  0.4685E-13  0.1106E-12
          17           1           1           2 -0.2220E-01 -0.2196E-01
          18           1           1           2  0.1454E-01 -0.4424E-13
          19           1           1           2 -0.8584E-02 -0.8487E-02
          20           1           1           2  0.1312E-13  0.1139E-18
          21           1           1           2  0.3043E-01  0.7198E-01
          22           1           1           2  0.1039      0.2730    
          23           1           1           2  0.9672E-14  -0.000    
          24           1           1           2  0.8584E-02  0.8487E-02
          25           1           1           2 -0.9069E-02 -0.2196E-01
          26           1           1           2 -0.3134E-12 -0.6455E-12
          27           1           1           2 -0.1039     -0.2730    
          28           1           1           2 -0.1454E-01  0.4424E-13
          29           1           1           2  0.9299E-15 -0.1909E-24
          30           1           1           2  0.9069E-02  0.2196E-01
          31           1           1           2 -0.3043E-01 -0.7198E-01
          32           1           1           2  0.2220E-01  0.2196E-01
          33           1           1           2  0.3083E-17 -0.6385E-26
          34           1           1           2  0.2220E-01  0.2196E-01
          35           1           1           2 -0.5645E-17 -0.3687E-25
          36           1           1           2  0.2541E-01  0.2310E-01
          37           1           1           2 -0.2473E-01 -0.2196E-01
          38           1           1           2  0.7208E-02  0.6455E-12
          39           1           1           2 -0.1454     -0.2730    
          40           1           1           2 -0.1804E-13 -0.4424E-13
          41           1           1           2  0.2836E-16  0.3687E-24
          42           1           1           2  0.1275      0.2730    
          43           1           1           2  -0.000      -0.000    
          44           1           1           2  0.1454      0.2730    
          45           1           1           2 -0.2483E-01 -0.2310E-01
          46           1           1           2  0.1871E-13  0.4424E-13
          47           1           1           2 -0.1275     -0.2730    
          48           1           1           2 -0.7208E-02 -0.6455E-12
          49           1           1           2 -0.2216E-01 -0.2196E-01
