 nk, la, al, be, mode_kap, mode_kap_RTA
           7           5           1           1  0.1139E-02  0.1957E-02
           8           5           1           1 -0.4287E-25 -0.4353E-30
           9           5           1           1  0.7562E-16  0.2532E-26
          10           5           1           1  0.1139E-02  0.1957E-02
          11           5           1           1  0.5222E-16 -0.8987E-28
          12           5           1           1  0.2229E-02  0.2085E-02
          13           5           1           1  0.1851E-02  0.1957E-02
          14           5           1           1 -0.4287E-25 -0.4353E-30
          15           5           1           1  0.2862E-02  0.2085E-02
          16           5           1           1 -0.1825E-32 -0.1905E-43
          17           5           1           1  0.9895E-02  0.8571E-02
          18           5           1           1  0.7092E-02  0.6612E-02
          19           5           1           1  0.2315E-02  0.1957E-02
          20           5           1           1  -0.000      -0.000    
          21           5           1           1  0.7092E-02  0.6612E-02
          22           5           1           1  0.2108E-02  0.1517E-02
          23           5           1           1 -0.1677E-15 -0.7439E-26
          24           5           1           1  0.2315E-02  0.1957E-02
          25           5           1           1  0.2315E-02  0.1957E-02
          26           5           1           1 -0.1677E-15 -0.7439E-26
          27           5           1           1  0.2547E-02  0.1517E-02
          28           5           1           1  0.7092E-02  0.6612E-02
          29           5           1           1  -0.000      -0.000    
          30           5           1           1  0.2315E-02  0.1957E-02
          31           5           1           1  0.7092E-02  0.6612E-02
          32           5           1           1  0.9895E-02  0.8571E-02
          33           5           1           1   0.000      -0.000    
          34           5           1           1  0.9895E-02  0.8571E-02
          35           5           1           1   0.000      -0.000    
          36           5           1           1  0.1114E-01  0.9132E-02
          37           5           1           1  0.9895E-02  0.8571E-02
          38           5           1           1  0.3729E-01  0.2950E-01
          39           5           1           1  0.2975E-02  0.1517E-02
          40           5           1           1 -0.2828E-16   0.000    
          41           5           1           1   0.000      -0.000    
          42           5           1           1  0.2975E-02  0.1517E-02
          43           5           1           1   0.000      -0.000    
          44           5           1           1  0.2975E-02  0.1517E-02
          45           5           1           1  0.1114E-01  0.9132E-02
          46           5           1           1 -0.2828E-16   0.000    
          47           5           1           1  0.2975E-02  0.1517E-02
          48           5           1           1  0.3729E-01  0.2950E-01
          49           5           1           1  0.8947E-02  0.8571E-02
          50           5           1           1   0.000       0.000    
          51           5           1           1  0.2229E-02  0.2085E-02
          52           5           1           1  0.5125E-02  0.6612E-02
          53           5           1           1   0.000       0.000    
          54           5           1           1  0.9895E-02  0.8571E-02
          55           5           1           1  0.5948E-02  0.6612E-02
          56           5           1           1  0.1139E-02  0.1957E-02
          57           5           1           1  0.2229E-02  0.2085E-02
          58           5           1           1  0.5948E-02  0.6612E-02
          59           5           1           1  0.2108E-02  0.1517E-02
          60           5           1           1 -0.1677E-15 -0.7439E-26
          61           5           1           1  0.5125E-02  0.6612E-02
          62           5           1           1  0.1139E-02  0.1957E-02
          63           5           1           1 -0.1677E-15 -0.7439E-26
          64           5           1           1  0.2108E-02  0.1517E-02
           1           6           1           1  0.4868E-16  0.1220E-26
           2           6           1           1  0.7297E-02  0.5181E-02
           3           6           1           1 -0.1987E-16   0.000    
           4           6           1           1  0.8089E-02  0.5181E-02
           5           6           1           1  0.4210E-02  0.5181E-02
           6           6           1           1 -0.7602E-15  0.1879E-26
           7           6           1           1  0.4210E-02  0.5181E-02
           8           6           1           1   0.000       0.000    
           9           6           1           1 -0.1987E-16   0.000    
          10           6           1           1  0.4210E-02  0.5181E-02
          11           6           1           1 -0.6558E-16 -0.1742E-27
          12           6           1           1  0.5812E-02  0.5528E-02
          13           6           1           1  0.5090E-02  0.5181E-02
          14           6           1           1   0.000       0.000    
          15           6           1           1  0.7146E-02  0.5528E-02
          16           6           1           1 -0.2189E-32  0.3082E-43
          17           6           1           1  0.1815E-02  0.8102E-03
          18           6           1           1 -0.5869E-03  0.2057E-03
          19           6           1           1  0.7297E-02  0.5181E-02
          20           6           1           1 -0.1661E-15 -0.1640E-26
          21           6           1           1 -0.5869E-03  0.2057E-03
          22           6           1           1  0.1866E-02  0.1482E-02
          23           6           1           1 -0.4415E-15  0.4594E-26
          24           6           1           1  0.7297E-02  0.5181E-02
          25           6           1           1  0.7297E-02  0.5181E-02
          26           6           1           1 -0.4415E-15  0.4594E-26
          27           6           1           1  0.1847E-02  0.1482E-02
          28           6           1           1 -0.5869E-03  0.2057E-03
          29           6           1           1 -0.1661E-15 -0.1640E-26
          30           6           1           1  0.7297E-02  0.5181E-02
          31           6           1           1 -0.5869E-03  0.2057E-03
          32           6           1           1  0.1815E-02  0.8102E-03
          33           6           1           1   0.000      -0.000    
          34           6           1           1  0.1815E-02  0.8102E-03
          35           6           1           1   0.000       0.000    
          36           6           1           1  0.1618E-02  0.8644E-03
          37           6           1           1  0.1815E-02  0.8102E-03
          38           6           1           1  0.5203E-01  0.3393E-01
          39           6           1           1  0.2171E-02  0.1482E-02
          40           6           1           1 -0.7602E-15  0.1879E-26
          41           6           1           1   0.000       0.000    
          42           6           1           1  0.2171E-02  0.1482E-02
          43           6           1           1   0.000      -0.000    
          44           6           1           1  0.2171E-02  0.1482E-02
          45           6           1           1  0.1618E-02  0.8644E-03
          46           6           1           1 -0.7602E-15  0.1879E-26
          47           6           1           1  0.2171E-02  0.1482E-02
          48           6           1           1  0.5203E-01  0.3393E-01
          49           6           1           1  0.1121E-02  0.8102E-03
          50           6           1           1  0.2308E-31  -0.000    
          51           6           1           1  0.5812E-02  0.5528E-02
          52           6           1           1 -0.3330E-03  0.2057E-03
          53           6           1           1  0.2308E-31  -0.000    
          54           6           1           1  0.1815E-02  0.8102E-03
          55           6           1           1 -0.8410E-04  0.2057E-03
          56           6           1           1  0.4210E-02  0.5181E-02
          57           6           1           1  0.5812E-02  0.5528E-02
          58           6           1           1 -0.8410E-04  0.2057E-03
          59           6           1           1  0.1866E-02  0.1482E-02
          60           6           1           1 -0.4415E-15  0.4594E-26
          61           6           1           1 -0.3330E-03  0.2057E-03
          62           6           1           1  0.4210E-02  0.5181E-02
          63           6           1           1 -0.4415E-15  0.4594E-26
          64           6           1           1  0.1866E-02  0.1482E-02
           1           1           1           2  0.3794E-15 -0.2766E-25
           2           1           1           2  0.1323E-01  0.8486E-02
           3           1           1           2  0.4483E-15 -0.1916E-25
           4           1           1           2  0.1340E-01  0.8486E-02
           5           1           1           2 -0.3221E-01 -0.2195E-01
           6           1           1           2 -0.1425E-13 -0.9218E-14
           7           1           1           2 -0.1511E-01 -0.8486E-02
           8           1           1           2  -0.000      -0.000    
           9           1           1           2 -0.4621E-15 -0.6385E-26
          10           1           1           2  0.3221E-01  0.2195E-01
          11           1           1           2  0.3794E-15 -0.2766E-25
          12           1           1           2  0.3516E-01  0.2310E-01
          13           1           1           2 -0.3227E-01 -0.2195E-01
          14           1           1           2   0.000       0.000    
          15           1           1           2 -0.1566E-01 -0.8927E-02
          16           1           1           2  0.9961E-30  0.6391E-30
          17           1           1           2 -0.3422E-01 -0.2196E-01
          18           1           1           2  0.3598E-02 -0.4424E-13
          19           1           1           2 -0.1323E-01 -0.8486E-02
          20           1           1           2 -0.9925E-15  0.8814E-20
          21           1           1           2  0.1113      0.7198E-01
          22           1           1           2  0.4039      0.2730    
          23           1           1           2 -0.3327E-13  -0.000    
          24           1           1           2  0.1323E-01  0.8486E-02
          25           1           1           2 -0.3221E-01 -0.2195E-01
          26           1           1           2 -0.7091E-12 -0.5693E-12
          27           1           1           2 -0.4039     -0.2730    
          28           1           1           2 -0.3598E-02  0.4424E-13
          29           1           1           2 -0.1535E-14 -0.1477E-25
          30           1           1           2  0.3221E-01  0.2195E-01
          31           1           1           2 -0.1113     -0.7198E-01
          32           1           1           2  0.3422E-01  0.2196E-01
          33           1           1           2   0.000      -0.000    
          34           1           1           2  0.3422E-01  0.2196E-01
          35           1           1           2 -0.4225E-30  0.4527E-41
          36           1           1           2  0.4594E-01  0.2310E-01
          37           1           1           2 -0.3910E-01 -0.2196E-01
          38           1           1           2  0.1098E-01  0.6455E-12
          39           1           1           2 -0.3993     -0.2729    
          40           1           1           2  0.1436E-13  0.9218E-14
          41           1           1           2  0.2539E-30 -0.4527E-40
          42           1           1           2  0.4031      0.2729    
          43           1           1           2  -0.000      -0.000    
          44           1           1           2  0.3993      0.2729    
          45           1           1           2 -0.4051E-01 -0.2310E-01
          46           1           1           2 -0.1425E-13 -0.9218E-14
          47           1           1           2 -0.4031     -0.2729    
          48           1           1           2 -0.1098E-01 -0.6455E-12
          49           1           1           2 -0.3467E-01 -0.2196E-01
          50           1           1           2 -0.6382E-31  0.5667E-36
          51           1           1           2 -0.1775E-01 -0.8927E-02
          52           1           1           2 -0.5848E-02  0.1106E-12
          53           1           1           2 -0.7102E-31 -0.1899E-41
          54           1           1           2  0.3910E-01  0.2196E-01
          55           1           1           2 -0.1121     -0.7198E-01
          56           1           1           2  0.3221E-01  0.2195E-01
          57           1           1           2 -0.3516E-01 -0.2310E-01
          58           1           1           2  0.3598E-02 -0.4424E-13
          59           1           1           2 -0.4039     -0.2730    
          60           1           1           2  0.7091E-12  0.5693E-12
          61           1           1           2  0.1122      0.7198E-01
