 # iatom, [  taui(ni)  ],  alpha_i ;  jatom, [  tauj(nj), alpha_j  :   term group  rij
   1  [  1 ( 0, 0, 0) ] 1  ;    4  [  1 ( 1, 0, 0) ] 1  ;      4   17    7.295
   1  [  1 ( 0, 0, 0) ] 1  ;   20  [  1 ( 0,-1, 1) ] 1  ;     17   17    7.295
   1  [  1 ( 0, 0, 0) ] 1  ;    8  [  1 ( 0, 1,-1) ] 1  ;     20   17    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   28  [  1 (-1, 0, 0) ] 2  ;      1   18    2.432
   1  [  1 ( 0, 0, 0) ] 1  ;   28  [  1 (-1, 0, 0) ] 3  ;      5   18    2.432
   1  [  1 ( 0, 0, 0) ] 1  ;    4  [  1 ( 1, 0, 0) ] 2  ;     12   18    7.295
   1  [  1 ( 0, 0, 0) ] 1  ;    4  [  1 ( 1, 0, 0) ] 3  ;     16   18    7.295
   1  [  1 ( 0, 0, 0) ] 1  ;   19  [  1 (-1, 0, 1) ] 2  ;     17   18    5.615
   1  [  1 ( 0, 0, 0) ] 1  ;   11  [  1 ( 1, 0,-1) ] 2  ;     24   18    3.971
   1  [  1 ( 0, 0, 0) ] 1  ;    6  [  1 (-1, 1, 0) ] 3  ;     33   18    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   10  [  1 ( 1,-1, 0) ] 3  ;     44   18    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   23  [  1 ( 0,-1, 0) ] 2  ;     49   18    3.971
   1  [  1 ( 0, 0, 0) ] 1  ;    3  [  1 ( 0, 1, 0) ] 2  ;     56   18    9.726
   1  [  1 ( 0, 0, 0) ] 1  ;   20  [  1 ( 0,-1, 1) ] 2  ;     65   18    7.295
   1  [  1 ( 0, 0, 0) ] 1  ;   20  [  1 ( 0,-1, 1) ] 3  ;     69   18    7.295
   1  [  1 ( 0, 0, 0) ] 1  ;    8  [  1 ( 0, 1,-1) ] 2  ;     76   18    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;    8  [  1 ( 0, 1,-1) ] 3  ;     80   18    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;   14  [  1 ( 0, 0,-1) ] 3  ;     81   18    4.656
   1  [  1 ( 0, 0, 0) ] 1  ;    2  [  1 ( 0, 0, 1) ] 3  ;     92   18    2.432
   1  [  1 ( 0, 0, 0) ] 1  ;   19  [  1 (-1, 0, 1) ] 1  ;      9   19    5.615
   1  [  1 ( 0, 0, 0) ] 1  ;   11  [  1 ( 1, 0,-1) ] 1  ;     12   19    3.971
