 # om(i),i,integrated_dos,total_dos,(dos(la,i),la=1,n))
0.56130      ,   2.345      ,  0.5435E-02
0.56454      ,   2.356      ,  0.6123E-02
0.56779      ,   2.367      ,  0.6803E-02
0.57103      ,   2.379      ,  0.7222E-02
0.57428      ,   2.392      ,  0.7269E-02
0.57752      ,   2.404      ,  0.7074E-02
0.58076      ,   2.415      ,  0.6916E-02
0.58401      ,   2.427      ,  0.7022E-02
0.58725      ,   2.440      ,  0.7426E-02
0.59050      ,   2.453      ,  0.7994E-02
0.59374      ,   2.467      ,  0.8564E-02
0.59698      ,   2.483      ,  0.9074E-02
0.60023      ,   2.499      ,  0.9578E-02
0.60347      ,   2.516      ,  0.1016E-01
0.60671      ,   2.534      ,  0.1085E-01
0.60996      ,   2.554      ,  0.1163E-01
0.61320      ,   2.575      ,  0.1249E-01
0.61645      ,   2.598      ,  0.1347E-01
0.61969      ,   2.622      ,  0.1449E-01
0.62293      ,   2.648      ,  0.1537E-01
0.62618      ,   2.675      ,  0.1588E-01
0.62942      ,   2.701      ,  0.1588E-01
0.63267      ,   2.727      ,  0.1537E-01
0.63591      ,   2.752      ,  0.1443E-01
0.63915      ,   2.774      ,  0.1315E-01
0.64240      ,   2.793      ,  0.1165E-01
0.64564      ,   2.810      ,  0.1014E-01
0.64889      ,   2.825      ,  0.8855E-02
0.65213      ,   2.839      ,  0.7960E-02
0.65537      ,   2.851      ,  0.7473E-02
0.65862      ,   2.864      ,  0.7282E-02
0.66186      ,   2.876      ,  0.7181E-02
0.66511      ,   2.887      ,  0.6953E-02
0.66835      ,   2.898      ,  0.6474E-02
0.67159      ,   2.908      ,  0.5791E-02
0.67484      ,   2.917      ,  0.5109E-02
0.67808      ,   2.925      ,  0.4647E-02
0.68133      ,   2.932      ,  0.4487E-02
0.68457      ,   2.940      ,  0.4556E-02
0.68781      ,   2.948      ,  0.4732E-02
0.69106      ,   2.956      ,  0.4935E-02
0.69430      ,   2.965      ,  0.5136E-02
0.69755      ,   2.974      ,  0.5309E-02
0.70079      ,   2.983      ,  0.5438E-02
0.70403      ,   2.992      ,  0.5537E-02
0.70728      ,   3.002      ,  0.5644E-02
0.71052      ,   3.011      ,  0.5788E-02
0.71376      ,   3.022      ,  0.5998E-02
0.71701      ,   3.032      ,  0.6345E-02
0.72025      ,   3.044      ,  0.6979E-02
0.72350      ,   3.058      ,  0.8092E-02
0.72674      ,   3.074      ,  0.9770E-02
0.72998      ,   3.094      ,  0.1179E-01
0.73323      ,   3.117      ,  0.1355E-01
0.73647      ,   3.141      ,  0.1434E-01
0.73972      ,   3.164      ,  0.1379E-01
0.74296      ,   3.185      ,  0.1213E-01
0.74620      ,   3.202      ,  0.1016E-01
