 #junk,om(i),total_dos(i),integrate_dos(i),tretrados(test)
0.37639       ,    5.5584       ,    1.8387       ,   0.15574E-01
0.37964       ,    5.5660       ,    1.8567       ,    0.0000    
0.38288       ,    5.6919       ,    1.8751       ,    0.0000    
0.38613       ,    6.0484       ,    1.8946       ,    0.0000    
0.38937       ,    6.1836       ,    1.9146       ,    0.0000    
0.39261       ,    6.2749       ,    1.9349       ,    0.0000    
0.39586       ,    6.3063       ,    1.9553       ,    0.0000    
0.39910       ,    6.3414       ,    1.9758       ,    0.0000    
0.40235       ,    6.3760       ,    1.9964       ,    0.0000    
0.40559       ,    6.2518       ,    2.0166       ,    0.0000    
0.40883       ,    5.8081       ,    2.0354       ,    0.0000    
0.41208       ,    5.0972       ,    2.0519       ,    0.0000    
0.41532       ,    3.9769       ,    2.0647       ,    0.0000    
0.41857       ,    3.4953       ,    2.0760       ,    0.0000    
0.42181       ,    3.1745       ,    2.0863       ,    0.0000    
0.42505       ,    2.7667       ,    2.0952       ,    0.0000    
0.42830       ,    2.1407       ,    2.1022       ,    0.0000    
0.43154       ,    1.4157       ,    2.1067       ,    0.0000    
0.43479       ,    1.1535       ,    2.1105       ,    0.0000    
0.43803       ,    1.0752       ,    2.1139       ,    0.0000    
0.44127       ,    1.1012       ,    2.1175       ,    0.0000    
0.44452       ,    1.1281       ,    2.1212       ,    0.0000    
0.44776       ,    1.1555       ,    2.1249       ,    0.0000    
0.45101       ,    1.1850       ,    2.1287       ,    0.0000    
0.45425       ,    1.2164       ,    2.1327       ,    0.0000    
0.45749       ,    1.2492       ,    2.1367       ,    0.0000    
0.46074       ,    1.2832       ,    2.1408       ,    0.0000    
0.46398       ,    1.3185       ,    2.1451       ,    0.0000    
0.46723       ,    1.3465       ,    2.1495       ,    0.0000    
0.47047       ,    1.3798       ,    2.1539       ,    0.0000    
0.47371       ,    1.4133       ,    2.1585       ,    0.0000    
0.47696       ,    1.4470       ,    2.1632       ,    0.0000    
0.48020       ,    1.4813       ,    2.1680       ,    0.0000    
0.48344       ,    1.5232       ,    2.1729       ,    0.0000    
0.48669       ,    1.5633       ,    2.1779       ,    0.0000    
0.48993       ,    1.6049       ,    2.1831       ,    0.0000    
0.49318       ,    1.6479       ,    2.1885       ,    0.0000    
0.49642       ,    1.6925       ,    2.1939       ,    0.0000    
0.49966       ,    1.7385       ,    2.1995       ,    0.0000    
0.50291       ,    1.7855       ,    2.2053       ,    0.0000    
